id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
8130,2020-04-30 07:35:08,几内亚,1351,0,313,7,0,,111.0,0.0,44.0,0.0,0.0,,
8131,2020-04-30 00:00:31,卢旺达,212,0,95,0,0,,,,,,,,
80001,2020-04-30 00:00:31,格林纳达,19,0,10,0,0,,,,,,,,
8129,2020-04-30 07:43:41,斯威士兰,91,0,10,1,0,,26.0,0.0,0.0,0.0,0.0,,
8145,2020-04-30 00:00:31,坦桑尼亚,480,0,167,16,0,,,,,,,,
8146,2020-04-30 00:00:31,贝宁,64,0,33,1,0,,,,,,,,
8143,2020-04-29 15:17:27,刚果（金）,491,0,59,30,0,,,0.0,,,0.0,,
8144,2020-04-30 00:00:31,中非共和国,50,0,10,0,0,,,,,,,,
8147,2020-04-30 00:00:31,利比里亚,141,0,45,16,0,,,,,,,,
8148,2020-04-30 00:00:31,索马里,528,0,19,28,0,,,,,,,,
95123456,2020-04-30 08:11:10,塞拉利昂,116,0,14,4,0,,17.0,0.0,4.0,0.0,0.0,,
95XXXX,2020-04-30 00:00:31,乍得,52,0,19,2,0,,,,,,,,
8152,2020-04-30 00:00:31,赞比亚,97,0,54,3,0,,,,,,,,
8151,2020-04-30 00:00:31,巴巴多斯,80,0,39,6,0,,,,,,,,
95mali,2020-04-29 08:06:50,马里,424,0,122,24,0,,,0.0,,,0.0,,
958888,2020-04-30 08:56:57,阿根廷,4285,0,1192,214,0,,158.0,0.0,30.0,7.0,0.0,,
81113,2020-04-30 00:00:31,法属波利尼西亚,58,0,35,0,0,,,,,,,,
